flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,avg_packet_size,max_packet_size,min_packet_size,duration,avg_interval,interval_variance,avg_ttl,syn_count,ack_count,fin_count,rst_count,psh_count,unique_ports,label,confidence,reason
172.27.152.109:53209 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,53209,53,UDP,2,481,240.5,400,81,0.007624,0.007624,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56818 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56818,53,UDP,2,219,109.5,138,81,0.007461,0.007461,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:54648 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,54648,53,UDP,2,276,138.0,219,57,3.060308,3.060308,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:54106 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,54106,53,UDP,2,225,112.5,168,57,0.09215,0.09215,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49690 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,49690,53,UDP,2,185,92.5,125,60,0.014266,0.014266,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:63778 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,63778,53,UDP,2,596,298.0,536,60,0.026126,0.026126,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59210 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,59210,53,UDP,2,230,115.0,164,66,2.412175,2.412175,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57552 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57552,53,UDP,2,181,90.5,115,66,1.228622,1.228622,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58630 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58630,53,UDP,2,341,170.5,259,82,4.523788,4.523788,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49688 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,49688,53,UDP,2,298,149.0,216,82,0.013336,0.013336,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57649 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57649,53,UDP,2,329,164.5,257,72,3.807949,3.807949,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53952 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,53952,53,UDP,2,277,138.5,205,72,0.061361,0.061361,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:55123 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,55123,53,UDP,2,197,98.5,143,54,3.455197,3.455197,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50060 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,50060,53,UDP,4,567,141.75,288,54,21.016424,7.005475,68.225837,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50639 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,50639,53,UDP,2,221,110.5,151,70,0.055754,0.055754,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49355 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,49355,53,UDP,2,604,302.0,534,70,0.055609,0.055609,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62835 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,62835,53,UDP,2,279,139.5,220,59,2.339445,2.339445,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62865 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,62865,53,UDP,2,254,127.0,195,59,0.532609,0.532609,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57646 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57646,53,UDP,2,230,115.0,164,66,1.40138,1.40138,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64943 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,64943,53,UDP,2,181,90.5,115,66,0.217789,0.217789,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64309 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,64309,53,UDP,2,243,121.5,179,64,0.385431,0.385431,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60180 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,60180,53,UDP,2,228,114.0,164,64,0.015399,0.015399,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58095 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,58095,53,UDP,2,197,98.5,143,54,2.432256,2.432256,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:54612 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,54612,53,UDP,2,213,106.5,159,54,0.095104,0.095104,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50796 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,50796,53,UDP,2,229,114.5,173,56,4.839573,4.839573,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53469 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,53469,53,UDP,2,204,102.0,148,56,0.026981,0.026981,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50421 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,50421,53,UDP,2,224,112.0,162,62,0.568148,0.568148,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53272 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,53272,53,UDP,2,343,171.5,281,62,1.013234,1.013234,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:63975 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,63975,53,UDP,2,343,171.5,281,62,0.928424,0.928424,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62799 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,62799,53,UDP,2,276,138.0,218,58,1.772969,1.772969,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64604 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,64604,53,UDP,2,229,114.5,171,58,0.603956,0.603956,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58091 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,58091,53,UDP,2,254,127.0,196,58,0.027757,0.027757,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56662 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,56662,53,UDP,2,282,141.0,224,58,0.010376,0.010376,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57462 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57462,53,UDP,2,343,171.5,281,62,0.017576,0.017576,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62650 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,62650,53,UDP,2,242,121.0,186,56,0.030174,0.030174,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51067 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,51067,53,UDP,2,267,133.5,211,56,0.484363,0.484363,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49664 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,49664,53,UDP,2,242,121.0,186,56,0.026786,0.026786,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:65072 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,65072,53,UDP,2,227,113.5,164,63,0.307561,0.307561,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58242 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,58242,53,UDP,2,442,221.0,379,63,0.019924,0.019924,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50356 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,50356,53,UDP,2,248,124.0,190,58,1.281847,1.281847,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56985 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,56985,53,UDP,2,291,145.5,233,58,0.275147,0.275147,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53367 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,53367,53,UDP,2,254,127.0,196,58,0.806805,0.806805,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:61707 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,61707,53,UDP,2,207,103.5,149,58,0.968462,0.968462,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51243 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,51243,53,UDP,2,224,112.0,162,62,0.115028,0.115028,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60101 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,60101,53,UDP,2,343,171.5,281,62,0.018182,0.018182,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59017 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,59017,53,UDP,2,229,114.5,171,58,0.017107,0.017107,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52621 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,52621,53,UDP,2,343,171.5,281,62,0.515377,0.515377,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:63491 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,63491,53,UDP,2,276,138.0,218,58,0.015325,0.015325,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50077 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,50077,53,UDP,2,229,114.5,171,58,0.023637,0.023637,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:49794 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,49794,53,UDP,2,413,206.5,355,58,0.043188,0.043188,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57228 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57228,53,UDP,2,343,171.5,281,62,0.483439,0.483439,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62725 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,62725,53,UDP,2,244,122.0,171,73,0.030784,0.030784,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59140 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,59140,53,UDP,2,211,105.5,138,73,0.0306,0.0306,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57296 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57296,53,UDP,2,266,133.0,209,57,0.773611,0.773611,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51167 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,51167,53,UDP,2,241,120.5,184,57,0.028981,0.028981,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59266 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,59266,53,UDP,2,222,111.0,161,61,1.226305,1.226305,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57857 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57857,53,UDP,2,341,170.5,280,61,0.028017,0.028017,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:65489 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,65489,53,UDP,2,270,135.0,214,56,0.805479,0.805479,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52000 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,52000,53,UDP,2,203,101.5,147,56,0.02033,0.02033,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50942 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,50942,53,UDP,2,234,117.0,167,67,2.420125,2.420125,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60279 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,60279,53,UDP,2,353,176.5,286,67,0.45034,0.45034,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:63710 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,63710,53,UDP,2,230,115.0,165,65,1.968312,1.968312,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56539 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,56539,53,UDP,2,349,174.5,284,65,0.005452,0.005452,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59970 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,59970,53,UDP,2,533,266.5,460,73,0.007469,0.007469,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:50484 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,50484,53,UDP,2,495,247.5,422,73,0.007314,0.007314,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:65026 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,65026,53,UDP,2,245,122.5,159,86,0.029468,0.029468,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53598 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,53598,53,UDP,2,510,255.0,437,73,0.774489,0.774489,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52788 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,52788,53,UDP,2,537,268.5,462,75,0.008262,0.008262,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60070 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,60070,53,UDP,2,499,249.5,424,75,0.008085,0.008085,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57424 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57424,53,UDP,2,225,112.5,149,76,0.02237,0.02237,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57514 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,57514,53,UDP,2,612,306.0,536,76,0.051051,0.051051,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52249 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,52249,53,UDP,2,351,175.5,285,66,1.215004,1.215004,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:55143 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,55143,53,UDP,2,343,171.5,281,62,0.019187,0.019187,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:54998 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,54998,53,UDP,2,232,116.0,166,66,2.442468,2.442468,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51170 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,51170,53,UDP,2,351,175.5,285,66,1.210804,1.210804,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60821 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,60821,53,UDP,2,351,175.5,285,66,0.18991,0.18991,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60008 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,60008,53,UDP,2,232,116.0,166,66,1.410773,1.410773,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:54562 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,54562,53,UDP,2,351,175.5,285,66,0.189352,0.189352,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:61439 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,61439,53,UDP,2,351,175.5,285,66,0.112906,0.112906,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:64356 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,64356,53,UDP,2,343,171.5,281,62,0.04407,0.04407,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59162 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,59162,53,UDP,2,529,264.5,458,71,0.024378,0.024378,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60643 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,60643,53,UDP,2,491,245.5,420,71,0.024155,0.024155,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52934 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,52934,53,UDP,2,229,114.5,171,58,1.226098,1.226098,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:52446 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,52446,53,UDP,2,351,175.5,285,66,0.040912,0.040912,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58107 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58107,53,UDP,2,243,121.5,179,64,2.110084,2.110084,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56845 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56845,53,UDP,2,228,114.0,164,64,0.471431,0.471431,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:62549 <-> 202.114.200.250:53 UDP,172.27.152.109,202.114.200.250,62549,53,UDP,2,229,114.5,171,58,0.215516,0.215516,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
