flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,avg_packet_size,max_packet_size,min_packet_size,duration,avg_interval,interval_variance,avg_ttl,syn_count,ack_count,fin_count,rst_count,psh_count,unique_ports,label,confidence,reason
121.36.38.147:443 <-> 172.27.152.109:50926 TCP,172.27.152.109,121.36.38.147,50926,443,TCP,15,2115,141.0,276,40,82.080991,5.862928,84.676853,101.333333,0,15,0,0,10,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:55124 <-> 216.239.36.223:443 TCP,172.27.152.109,216.239.36.223,55124,443,TCP,5,260,52.0,52,52,15.031871,3.757968,7.218891,128.0,5,0,0,0,0,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:55125 <-> 216.239.36.223:443 TCP,172.27.152.109,216.239.36.223,55125,443,TCP,5,260,52.0,52,52,15.027415,3.756854,7.179729,128.0,5,0,0,0,0,2,Web,0.88,HTTP/HTTPS port
157.148.41.176:443 <-> 172.27.152.109:55586 TCP,172.27.152.109,157.148.41.176,55586,443,TCP,19,7186,378.210526,1327,40,71.547348,3.974853,120.230934,87.473684,0,19,0,0,10,2,Web,0.88,HTTP/HTTPS port
116.181.3.98:443 <-> 172.27.152.109:54789 TCP,172.27.152.109,116.181.3.98,54789,443,TCP,140,64525,460.892857,1321,40,83.999864,0.604316,1.887795,92.428571,0,140,0,0,92,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:57516 <-> 4.145.79.81:443 TCP,172.27.152.109,4.145.79.81,57516,443,TCP,3,337,112.333333,214,40,0.108746,0.054373,8.9e-05,122.666667,0,3,0,0,2,2,Web,0.88,HTTP/HTTPS port
157.148.41.176:443 <-> 172.27.152.109:55587 TCP,172.27.152.109,157.148.41.176,55587,443,TCP,65,36988,569.046154,1464,40,63.059238,0.985301,26.43428,96.015385,0,65,0,0,22,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:53743 <-> 20.205.243.168:443 TCP,172.27.152.109,20.205.243.168,53743,443,TCP,29,10585,365.0,1476,40,30.675794,1.095564,30.825972,89.37931,2,28,2,1,14,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:52283 <-> 40.79.167.9:443 TCP,172.27.152.109,40.79.167.9,52283,443,TCP,140,43132,308.085714,1488,40,63.166592,0.454436,3.173196,117.471429,2,139,0,0,78,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:51635 <-> 99.84.215.30:443 TCP,172.27.152.109,99.84.215.30,51635,443,TCP,40,13512,337.8,1480,40,62.894538,1.61268,54.227627,176.025,2,39,0,0,17,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:56098 <-> 52.182.143.213:443 TCP,172.27.152.109,52.182.143.213,56098,443,TCP,761,716941,942.103811,1488,40,57.812524,0.076069,0.559748,120.838371,2,760,0,0,119,2,Web,0.88,HTTP/HTTPS port
150.171.27.11:443 <-> 172.27.152.109:64497 TCP,172.27.152.109,150.171.27.11,64497,443,TCP,101,37117,367.49505,1488,40,61.664077,0.616641,6.968796,118.168317,2,100,0,0,46,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:58990 <-> 52.182.143.213:443 TCP,172.27.152.109,52.182.143.213,58990,443,TCP,9,2283,253.666667,1480,40,0.462687,0.057836,0.007949,120.0,2,8,1,1,2,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:61943 <-> 52.182.143.213:443 TCP,172.27.152.109,52.182.143.213,61943,443,TCP,9,2219,246.555556,1480,40,0.462533,0.057817,0.00793,119.666667,2,8,1,1,2,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:51042 <-> 52.182.143.213:443 TCP,172.27.152.109,52.182.143.213,51042,443,TCP,9,2315,257.222222,1480,40,0.474284,0.059285,0.007757,120.0,2,8,1,1,2,2,Web,0.88,HTTP/HTTPS port
