城市,北京,上海,天津,重庆,哈尔滨,长春,沈阳,呼和浩特,石家庄,太原,济南,郑州,西安,兰州,银川,西宁,乌鲁木齐,合肥,南京,杭州,长沙,南昌,武汉,成都,贵阳,福州,台北,广州,海口,南宁,昆明,拉萨,香港,澳门
北京,0,1065,104,1465,1055,854,621,408,270,406,366,617,917,1187,897,1333,2417,898,900,1126,1341,1248,1050,1521,1735,1559,1717,1889,2233,2050,2086,2563,1969,1987
上海,1065,0,963,1445,1675,1444,1191,1374,991,1099,729,827,1223,1718,1595,1913,3269,402,266,169,886,611,684,1659,1527,611,688,1213,1630,1603,1950,2902,1230,1276
天津,104,963,0,1447,1069,856,604,495,267,426,280,574,916,1226,951,1381,2504,812,805,1028,1279,1170,983,1521,1703,1466,1620,1819,2173,2002,2067,2597,1895,1916
重庆,1465,1445,1447,0,2515,2301,2040,1342,1195,1081,1253,893,572,768,979,906,2306,1061,1207,1314,647,911,762,266,328,1312,1561,977,1073,770,621,1485,1108,1075
哈尔滨,1055,1675,1069,2515,0,235,509,1321,1323,1458,1295,1637,1973,2192,1870,2306,3062,1743,1667,1816,2293,2121,1993,2576,2769,2283,2347,2791,3178,3042,3136,3558,2843,2876
长春,854,1444,856,2301,235,0,275,1160,1117,1261,1069,1417,1769,2020,1706,2146,2999,1508,1432,1583,2061,1886,1761,2373,2548,2051,2120,2556,2944,2812,2921,3394,2608,2641
沈阳,621,1191,604,2040,509,275,0,974,870,1024,798,1151,1520,1807,1506,1946,2905,1235,1162,1322,1786,1613,1486,2124,2279,1791,1874,2283,2670,2538,2658,3183,2336,2368
呼和浩特,408,1374,495,1342,1321,1160,974,0,385,335,648,689,772,874,549,987,2010,1112,1161,1397,1409,1399,1157,1326,1651,1778,1971,1971,2262,2029,1944,2238,2071,2077
石家庄,270,991,267,1195,1323,1117,870,385,0,168,273,366,652,970,717,1134,2335,734,776,1012,1104,1048,825,1257,1466,1404,1589,1661,1988,1792,1816,2336,1750,1763
太原,406,1099,426,1081,1458,1261,1024,335,168,0,416,356,518,803,554,967,2192,796,864,1098,1077,1066,823,1118,1370,1455,1657,1640,1942,1723,1699,2171,1738,1745
济南,366,729,280,1253,1295,1069,798,648,273,416,0,361,779,1182,965,1359,2605,533,538,769,1012,890,713,1367,1481,1193,1358,1544,1906,1749,1866,2518,1617,1639
郑州,617,827,574,893,1637,1417,1151,689,366,356,361,0,444,906,771,1097,2445,468,567,789,739,710,469,1010,1132,1107,1319,1298,1623,1432,1507,2190,1391,1401
西安,917,1223,916,572,1973,1769,1520,772,652,518,779,444,0,503,510,699,2114,827,957,1148,781,906,653,605,880,1350,1590,1308,1536,1276,1183,1747,1426,1416
兰州,1187,1718,1226,768,2192,2020,1807,874,970,803,1182,906,503,0,334,196,1625,1327,1452,1650,1229,1395,1149,601,1088,1841,2084,1699,1840,1536,1232,1377,1827,1805
银川,897,1595,951,979,1870,1706,1506,549,717,554,965,771,510,334,0,441,1674,1234,1338,1559,1290,1392,1133,877,1307,1829,2059,1816,2020,1738,1517,1689,1935,1924
西宁,1333,1913,1381,906,2306,2146,1946,987,1134,967,1359,1097,699,196,441,0,1439,1523,1647,1846,1412,1587,1343,699,1211,2032,2277,1863,1977,1663,1298,1252,1992,1967
乌鲁木齐,2417,3269,2504,2306,3062,2999,2905,2010,2335,2192,2605,2445,2114,1625,1674,1439,0,2906,3012,3231,2850,3018,2767,2058,2571,3463,3704,3282,3336,3009,2507,1603,3413,3382
合肥,898,402,812,1061,1743,1508,1235,1112,734,796,533,468,827,1327,1234,1523,2906,0,146,326,581,378,312,1263,1183,670,861,1048,1439,1339,1602,2503,1106,1135
南京,900,266,805,1207,1667,1432,1162,1161,776,864,538,567,957,1452,1338,1647,3012,146,0,236,706,469,454,1408,1322,663,819,1132,1535,1457,1743,2647,1176,1212
杭州,1126,169,1028,1314,1816,1583,1322,1397,1012,1098,769,789,1148,1650,1559,1846,3231,326,236,0,730,449,558,1540,1376,469,592,1045,1462,1436,1798,2786,1064,1109
长沙,1341,886,1279,647,2293,2061,1786,1409,1104,1077,1012,739,781,1229,1290,1412,2850,581,706,730,0,286,301,906,647,666,915,562,895,760,1068,2128,665,668
南昌,1248,611,1170,911,2121,1886,1613,1399,1048,1066,890,710,906,1395,1392,1587,3018,378,469,449,286,0,260,1159,932,445,691,670,1067,998,1353,2396,730,757
武汉,1050,684,983,762,1993,1761,1486,1157,825,823,713,469,653,1149,1133,1343,2767,312,454,558,301,260,0,982,871,699,937,839,1193,1054,1290,2228,925,939
成都,1521,1659,1521,266,2576,2373,2124,1326,1257,1118,1367,1010,605,601,877,699,2058,1263,1408,1540,906,1159,982,0,519,1571,1821,1234,1289,969,640,1246,1366,1330
贵阳,1735,1527,1703,328,2769,2548,2279,1651,1466,1370,1481,1132,880,1088,1307,1211,2571,1183,1322,1376,647,932,871,519,0,1256,1492,764,770,452,423,1560,893,848
福州,1559,611,1466,1312,2283,2051,1791,1778,1404,1455,1193,1107,1350,1841,1829,2032,3463,670,663,469,666,445,699,1571,1256,0,250,694,1105,1168,1652,2787,669,726
台北,1717,688,1620,1561,2347,2120,1874,1971,1589,1657,1358,1319,1590,2084,2059,2277,3704,861,819,592,915,691,937,1821,1492,250,0,866,1252,1363,1878,3032,808,871
