序号,总距离(km),城市数,路径
1,1521.00,2,北京->成都
2,1522.00,3,北京->西安->成都
3,1524.00,3,北京->太原->成都
4,1527.00,4,北京->石家庄->西安->成都
5,1527.00,3,北京->石家庄->成都
6,1529.00,4,北京->太原->西安->成都
7,1556.00,4,北京->石家庄->太原->成都
8,1625.00,4,北京->天津->西安->成都
9,1625.00,3,北京->天津->成都
10,1627.00,3,北京->郑州->成都
11,1628.00,4,北京->天津->石家庄->成都
12,1646.00,4,北京->石家庄->郑州->成都
13,1648.00,4,北京->天津->太原->成都
14,1666.00,4,北京->郑州->西安->成都
15,1688.00,4,北京->天津->郑州->成都
16,1731.00,4,北京->石家庄->重庆->成都
17,1731.00,3,北京->重庆->成都
18,1733.00,3,北京->济南->成都
19,1734.00,3,北京->呼和浩特->成都
20,1737.00,4,北京->济南->郑州->成都
21,1750.00,4,北京->济南->西安->成都
22,1751.00,4,北京->天津->济南->成都
23,1753.00,4,北京->太原->重庆->成都
24,1755.00,4,北京->西安->重庆->成都
25,1772.00,4,北京->太原->郑州->成都
26,1774.00,3,北京->银川->成都
27,1776.00,4,北京->郑州->重庆->成都
28,1785.00,4,北京->呼和浩特->西安->成都
29,1788.00,3,北京->兰州->成都
30,1810.00,4,北京->太原->兰州->成都
31,1817.00,4,北京->天津->重庆->成都
32,1831.00,4,北京->太原->石家庄->成都
33,1832.00,4,北京->银川->兰州->成都
34,1834.00,4,北京->呼和浩特->银川->成都
35,1837.00,4,北京->太原->银川->成都
36,1841.00,4,北京->石家庄->兰州->成都
37,1861.00,4,北京->呼和浩特->太原->成都
38,1864.00,4,北京->石家庄->银川->成都
39,1883.00,4,北京->呼和浩特->兰州->成都
40,1885.00,4,北京->济南->重庆->成都
41,1896.00,4,北京->济南->石家庄->成都
42,1900.00,4,北京->济南->太原->成都
43,1910.00,4,北京->石家庄->济南->成都
44,1925.00,4,北京->天津->呼和浩特->成都
45,1931.00,4,北京->天津->兰州->成都
46,1932.00,4,北京->天津->银川->成都
47,1981.00,4,北京->石家庄->呼和浩特->成都
48,2012.00,4,北京->银川->西安->成都
49,2016.00,4,北京->呼和浩特->重庆->成都
50,2021.00,4,北京->西安->兰州->成都
51,2032.00,3,北京->武汉->成都
52,2032.00,3,北京->西宁->成都
53,2037.00,4,北京->银川->西宁->成都
54,2050.00,4,北京->呼和浩特->石家庄->成都
55,2058.00,4,北京->石家庄->天津->成都
56,2061.00,4,北京->济南->武汉->成都
57,2067.00,4,北京->太原->呼和浩特->成都
58,2068.00,4,北京->郑州->武汉->成都
59,2069.00,4,北京->天津->武汉->成都
60,2072.00,4,北京->太原->西宁->成都
61,2077.00,4,北京->石家庄->武汉->成都
62,2078.00,4,北京->武汉->重庆->成都
63,2082.00,4,北京->兰州->西宁->成都
64,2091.00,4,北京->郑州->太原->成都
65,2094.00,4,北京->呼和浩特->西宁->成都
66,2103.00,4,北京->石家庄->西宁->成都
67,2107.00,4,北京->呼和浩特->郑州->成都
68,2124.00,4,北京->郑州->兰州->成都
69,2130.00,4,北京->西宁->兰州->成都
70,2142.00,4,北京->银川->重庆->成都
71,2149.00,4,北京->济南->兰州->成都
72,2161.00,3,北京->合肥->成都
73,2162.00,4,北京->济南->合肥->成都
74,2167.00,4,北京->济南->天津->成都
75,2179.00,4,北京->天津->合肥->成都
76,2184.00,4,北京->天津->西宁->成都
77,2189.00,4,北京->太原->济南->成都
78,2192.00,4,北京->合肥->武汉->成都
79,2208.00,4,北京->济南->银川->成都
80,2211.00,4,北京->太原->武汉->成都
81,2221.00,4,北京->兰州->重庆->成都
82,2225.00,4,北京->合肥->重庆->成都
83,2240.00,4,北京->郑州->石家庄->成都
84,2247.00,3,北京->长沙->成都
85,2254.00,4,北京->长沙->重庆->成都
86,2254.00,3,北京->贵阳->成都
87,2255.00,4,北京->石家庄->贵阳->成都
88,2257.00,4,北京->武汉->长沙->成都
89,2262.00,4,北京->郑州->长沙->成都
90,2265.00,4,北京->郑州->银川->成都
91,2267.00,4,北京->石家庄->合肥->成都
92,2268.00,4,北京->郑州->贵阳->成都
93,2280.00,4,北京->石家庄->长沙->成都
94,2284.00,4,北京->济南->长沙->成都
95,2289.00,4,北京->天津->长沙->成都
96,2295.00,4,北京->太原->贵阳->成都
