乌鲁木齐->西宁->成都, TotalDistance=2138
乌鲁木齐->兰州->成都, TotalDistance=2226
乌鲁木齐->西宁->兰州->成都, TotalDistance=2236
乌鲁木齐->兰州->西宁->成都, TotalDistance=2520
乌鲁木齐->兰州->西安->成都, TotalDistance=2733
乌鲁木齐->西宁->兰州->西安->成都, TotalDistance=2743
乌鲁木齐->拉萨->成都, TotalDistance=2849
乌鲁木齐->兰州->西安->重庆->成都, TotalDistance=2966
乌鲁木齐->西宁->兰州->西安->重庆->成都, TotalDistance=2976
乌鲁木齐->兰州->银川->西安->成都, TotalDistance=3074
乌鲁木齐->西宁->兰州->银川->西安->成都, TotalDistance=3084
乌鲁木齐->兰州->银川->西安->重庆->成都, TotalDistance=3307
乌鲁木齐->西宁->兰州->银川->西安->重庆->成都, TotalDistance=3317
乌鲁木齐->拉萨->昆明->成都, TotalDistance=3509
乌鲁木齐->兰州->西安->重庆->贵阳->成都, TotalDistance=3547
乌鲁木齐->拉萨->西宁->成都, TotalDistance=3554
乌鲁木齐->西宁->兰州->西安->重庆->贵阳->成都, TotalDistance=3557
乌鲁木齐->拉萨->西宁->兰州->成都, TotalDistance=3652
乌鲁木齐->兰州->西安->武汉->重庆->成都, TotalDistance=3809
乌鲁木齐->拉萨->昆明->贵阳->成都, TotalDistance=3811
乌鲁木齐->西宁->兰州->西安->武汉->重庆->成都, TotalDistance=3819
乌鲁木齐->兰州->呼和浩特->西安->成都, TotalDistance=3876
乌鲁木齐->兰州->银川->呼和浩特->西安->成都, TotalDistance=3885
乌鲁木齐->拉萨->昆明->贵阳->重庆->成都, TotalDistance=3886
乌鲁木齐->西宁->兰州->呼和浩特->西安->成都, TotalDistance=3886
乌鲁木齐->兰州->银川->西安->重庆->贵阳->成都, TotalDistance=3888
乌鲁木齐->西宁->兰州->银川->呼和浩特->西安->成都, TotalDistance=3895
乌鲁木齐->西宁->兰州->银川->西安->重庆->贵阳->成都, TotalDistance=3898
乌鲁木齐->西宁->拉萨->成都, TotalDistance=3937
乌鲁木齐->兰州->呼和浩特->太原->西安->成都, TotalDistance=3957
乌鲁木齐->兰州->银川->呼和浩特->太原->西安->成都, TotalDistance=3966
乌鲁木齐->西宁->兰州->呼和浩特->太原->西安->成都, TotalDistance=3967
乌鲁木齐->西宁->兰州->银川->呼和浩特->太原->西安->成都, TotalDistance=3976
乌鲁木齐->兰州->西安->武汉->长沙->重庆->成都, TotalDistance=3995
乌鲁木齐->西宁->兰州->西安->武汉->长沙->重庆->成都, TotalDistance=4005
乌鲁木齐->兰州->西安->郑州->武汉->重庆->成都, TotalDistance=4069
乌鲁木齐->西宁->兰州->西安->郑州->武汉->重庆->成都, TotalDistance=4079
乌鲁木齐->兰州->西安->重庆->贵阳->昆明->成都, TotalDistance=4091
乌鲁木齐->西宁->兰州->西安->重庆->贵阳->昆明->成都, TotalDistance=4101
乌鲁木齐->兰州->呼和浩特->西安->重庆->成都, TotalDistance=4109
乌鲁木齐->兰州->银川->呼和浩特->西安->重庆->成都, TotalDistance=4118
乌鲁木齐->西宁->兰州->呼和浩特->西安->重庆->成都, TotalDistance=4119
乌鲁木齐->西宁->兰州->银川->呼和浩特->西安->重庆->成都, TotalDistance=4128
乌鲁木齐->兰州->银川->西安->武汉->重庆->成都, TotalDistance=4150
乌鲁木齐->拉萨->西宁->兰州->西安->成都, TotalDistance=4159
乌鲁木齐->西宁->兰州->银川->西安->武汉->重庆->成都, TotalDistance=4160
乌鲁木齐->兰州->呼和浩特->银川->西安->成都, TotalDistance=4163
乌鲁木齐->西宁->兰州->呼和浩特->银川->西安->成都, TotalDistance=4173
乌鲁木齐->兰州->呼和浩特->石家庄->太原->西安->成都, TotalDistance=4175
乌鲁木齐->兰州->银川->呼和浩特->石家庄->太原->西安->成都, TotalDistance=4184
乌鲁木齐->西宁->兰州->呼和浩特->石家庄->太原->西安->成都, TotalDistance=4185
乌鲁木齐->兰州->呼和浩特->太原->西安->重庆->成都, TotalDistance=4190
乌鲁木齐->西宁->兰州->银川->呼和浩特->石家庄->太原->西安->成都, TotalDistance=4194
乌鲁木齐->兰州->银川->呼和浩特->太原->西安->重庆->成都, TotalDistance=4199
乌鲁木齐->西宁->兰州->呼和浩特->太原->西安->重庆->成都, TotalDistance=4200
乌鲁木齐->西宁->兰州->银川->呼和浩特->太原->西安->重庆->成都, TotalDistance=4209
乌鲁木齐->兰州->呼和浩特->太原->郑州->西安->成都, TotalDistance=4239
乌鲁木齐->兰州->西安->武汉->南昌->长沙->重庆->成都, TotalDistance=4240
乌鲁木齐->兰州->西安->武汉->长沙->贵阳->成都, TotalDistance=4248
乌鲁木齐->兰州->银川->呼和浩特->太原->郑州->西安->成都, TotalDistance=4248
乌鲁木齐->西宁->兰州->呼和浩特->太原->郑州->西安->成都, TotalDistance=4249
乌鲁木齐->西宁->兰州->西安->武汉->南昌->长沙->重庆->成都, TotalDistance=4250
乌鲁木齐->兰州->西安->郑州->武汉->长沙->重庆->成都, TotalDistance=4255
乌鲁木齐->西宁->兰州->银川->呼和浩特->太原->郑州->西安->成都, TotalDistance=4258
乌鲁木齐->西宁->兰州->西安->武汉->长沙->贵阳->成都, TotalDistance=4258
乌鲁木齐->西宁->兰州->西安->郑州->武汉->长沙->重庆->成都, TotalDistance=4265
乌鲁木齐->兰州->呼和浩特->石家庄->郑州->西安->成都, TotalDistance=4299
乌鲁木齐->兰州->银川->呼和浩特->石家庄->郑州->西安->成都, TotalDistance=4308
乌鲁木齐->西宁->兰州->呼和浩特->石家庄->郑州->西安->成都, TotalDistance=4309
乌鲁木齐->西宁->兰州->银川->呼和浩特->石家庄->郑州->西安->成都, TotalDistance=4318
乌鲁木齐->兰州->西宁->拉萨->成都, TotalDistance=4319
乌鲁木齐->兰州->西安->武汉->长沙->贵阳->重庆->成都, TotalDistance=4323
乌鲁木齐->西宁->兰州->西安->武汉->长沙->贵阳->重庆->成都, TotalDistance=4333
乌鲁木齐->兰州->银川->西安->武汉->长沙->重庆->成都, TotalDistance=4336
乌鲁木齐->西宁->兰州->银川->西安->武汉->长沙->重庆->成都, TotalDistance=4346
乌鲁木齐->兰州->西安->郑州->合肥->武汉->重庆->成都, TotalDistance=4380
乌鲁木齐->兰州->西安->武汉->重庆->贵阳->成都, TotalDistance=4390
乌鲁木齐->西宁->兰州->西安->郑州->合肥->武汉->重庆->成都, TotalDistance=4390
乌鲁木齐->拉萨->西宁->兰州->西安->重庆->成都, TotalDistance=4392
乌鲁木齐->兰州->呼和浩特->银川->西安->重庆->成都, TotalDistance=4396
乌鲁木齐->西宁->兰州->西安->武汉->重庆->贵阳->成都, TotalDistance=4400
乌鲁木齐->西宁->兰州->呼和浩特->银川->西安->重庆->成都, TotalDistance=4406
乌鲁木齐->兰州->呼和浩特->石家庄->太原->西安->重庆->成都, TotalDistance=4408
乌鲁木齐->兰州->银川->西安->郑州->武汉->重庆->成都, TotalDistance=4410
乌鲁木齐->兰州->银川->呼和浩特->石家庄->太原->西安->重庆->成都, TotalDistance=4417
乌鲁木齐->兰州->呼和浩特->太原->石家庄->郑州->西安->成都, TotalDistance=4417
乌鲁木齐->西宁->兰州->呼和浩特->石家庄->太原->西安->重庆->成都, TotalDistance=4418
乌鲁木齐->西宁->兰州->银川->西安->郑州->武汉->重庆->成都, TotalDistance=4420
乌鲁木齐->兰州->银川->呼和浩特->太原->石家庄->郑州->西安->成都, TotalDistance=4426
乌鲁木齐->西宁->兰州->呼和浩特->太原->石家庄->郑州->西安->成都, TotalDistance=4427
乌鲁木齐->西宁->兰州->银川->呼和浩特->石家庄->太原->西安->重庆->成都, TotalDistance=4427
乌鲁木齐->兰州->银川->西安->重庆->贵阳->昆明->成都, TotalDistance=4432
乌鲁木齐->西宁->兰州->银川->呼和浩特->太原->石家庄->郑州->西安->成都, TotalDistance=4436
乌鲁木齐->西宁->兰州->银川->西安->重庆->贵阳->昆明->成都, TotalDistance=4442
乌鲁木齐->兰州->呼和浩特->石家庄->太原->郑州->西安->成都, TotalDistance=4457
乌鲁木齐->兰州->银川->呼和浩特->石家庄->太原->郑州->西安->成都, TotalDistance=4466
乌鲁木齐->西宁->兰州->呼和浩特->石家庄->太原->郑州->西安->成都, TotalDistance=4467
乌鲁木齐->兰州->呼和浩特->太原->郑州->西安->重庆->成都, TotalDistance=4472
乌鲁木齐->西宁->兰州->银川->呼和浩特->石家庄->太原->郑州->西安->成都, TotalDistance=4476
乌鲁木齐->兰州->银川->呼和浩特->太原->郑州->西安->重庆->成都, TotalDistance=4481
乌鲁木齐->西宁->兰州->呼和浩特->太原->郑州->西安->重庆->成都, TotalDistance=4482
乌鲁木齐->西宁->兰州->银川->呼和浩特->太原->郑州->西安->重庆->成都, TotalDistance=4491
乌鲁木齐->兰州->西安->武汉->南昌->长沙->贵阳->成都, TotalDistance=4493
乌鲁木齐->兰州->西安->太原->郑州->武汉->重庆->成都, TotalDistance=4499
乌鲁木齐->兰州->西安->郑州->武汉->南昌->长沙->重庆->成都, TotalDistance=4500
乌鲁木齐->拉萨->西宁->兰州->银川->西安->成都, TotalDistance=4500
乌鲁木齐->西宁->兰州->西安->武汉->南昌->长沙->贵阳->成都, TotalDistance=4503
乌鲁木齐->兰州->西安->郑州->武汉->长沙->贵阳->成都, TotalDistance=4508
乌鲁木齐->西宁->兰州->西安->太原->郑州->武汉->重庆->成都, TotalDistance=4509
乌鲁木齐->西宁->兰州->西安->郑州->武汉->南昌->长沙->重庆->成都, TotalDistance=4510
乌鲁木齐->兰州->西安->重庆->长沙->贵阳->成都, TotalDistance=4513
乌鲁木齐->西宁->兰州->西安->郑州->武汉->长沙->贵阳->成都, TotalDistance=4518
乌鲁木齐->西宁->兰州->西安->重庆->长沙->贵阳->成都, TotalDistance=4523
乌鲁木齐->兰州->呼和浩特->石家庄->郑州->西安->重庆->成都, TotalDistance=4532
乌鲁木齐->兰州->银川->呼和浩特->石家庄->郑州->西安->重庆->成都, TotalDistance=4541
乌鲁木齐->西宁->兰州->呼和浩特->石家庄->郑州->西安->重庆->成都, TotalDistance=4542
乌鲁木齐->西宁->兰州->银川->呼和浩特->石家庄->郑州->西安->重庆->成都, TotalDistance=4551
乌鲁木齐->兰州->西安->郑州->合肥->武汉->长沙->重庆->成都, TotalDistance=4566
乌鲁木齐->兰州->呼和浩特->石家庄->济南->郑州->西安->成都, TotalDistance=4567
乌鲁木齐->兰州->西安->武汉->南昌->长沙->贵阳->重庆->成都, TotalDistance=4568
