generation,bestFitness,averageFitness
0,2767.399440,1675.185675
1,2767.399440,1753.704762
2,2767.399440,1863.713931
3,2767.399440,2065.751392
4,2767.399440,2223.383670
5,2767.399440,2381.155730
6,2767.399440,2490.803287
7,2767.399440,2541.071024
8,2767.399440,2570.617285
9,2767.399440,2578.504968
10,2767.399440,2587.448703
11,2767.399440,2639.068774
12,2767.399440,2622.101731
13,2767.399440,2626.156583
14,2767.399440,2638.412291
15,2767.399440,2640.055466
16,2767.399440,2629.010740
17,2767.399440,2623.872647
18,2767.399440,2625.429762
19,2767.399440,2616.388798
20,2767.399440,2615.390313
21,2767.399440,2639.443813
22,2767.399440,2647.908130
23,2767.399440,2657.798836
24,2767.399440,2651.142472
25,2767.399440,2643.805836
26,2767.399440,2618.094624
27,2767.399440,2614.313801
28,2767.399440,2622.869354
29,2767.399440,2621.584806
30,2767.399440,2625.098954
31,2767.399440,2612.524115
32,2767.399440,2619.449999
33,2767.399440,2645.015587
34,2767.399440,2647.664683
35,2767.399440,2663.509685
36,2767.399440,2647.751235
37,2767.399440,2642.680184
38,2767.399440,2639.445505
39,2767.399440,2643.285641
40,2767.399440,2644.784601
41,2767.399440,2646.774427
42,2767.399440,2649.895469
43,2767.399440,2642.854379
44,2767.399440,2627.116167
45,2767.399440,2624.524268
46,2767.399440,2634.247490
47,2767.399440,2656.543048
48,2767.399440,2647.633844
49,2767.399440,2644.449807
50,2767.399440,2634.992621
51,2767.399440,2630.887959
52,2767.399440,2648.870256
53,2767.399440,2663.193118
54,2767.399440,2654.597681
55,2767.399440,2632.958715
56,2767.399440,2631.320647
57,2767.399440,2637.081863
58,2767.399440,2628.115623
59,2767.399440,2644.169886
60,2767.399440,2645.039349
61,2767.399440,2661.684452
62,2767.399440,2665.495352
63,2767.399440,2655.347690
64,2767.399440,2650.420610
65,2767.399440,2649.916212
66,2767.399440,2643.201631
67,2767.399440,2631.509542
68,2767.399440,2618.881101
69,2767.399440,2629.171423
70,2767.399440,2611.840643
71,2767.399440,2598.448949
72,2767.399440,2610.272347
73,2767.399440,2642.936512
74,2767.399440,2633.093694
75,2767.399440,2633.041096
76,2767.399440,2622.374824
77,2767.399440,2621.948778
78,2767.399440,2618.413309
79,2767.399440,2604.816305
80,2767.399440,2614.741291
81,2767.399440,2620.112968
82,2767.399440,2623.540966
83,2767.399440,2606.678310
84,2767.399440,2622.129487
85,2767.399440,2607.893434
86,2767.399440,2593.625720
87,2767.399440,2590.722319
88,2767.399440,2609.882519
89,2767.399440,2611.450954
90,2767.399440,2616.003349
91,2767.399440,2615.328885
92,2767.399440,2598.062785
93,2767.399440,2588.481708
94,2767.399440,2611.633262
95,2767.399440,2612.494633
96,2767.399440,2616.619685
97,2767.399440,2619.910308
98,2767.399440,2613.432314
99,2767.399440,2641.480513
100,2767.399440,2641.560131
101,2767.399440,2651.316827
102,2767.399440,2643.523145
103,2767.399440,2651.612866
104,2767.399440,2618.268605
105,2767.399440,2639.749921
106,2767.399440,2603.377330
107,2767.399440,2626.332496
108,2767.399440,2637.260664
109,2767.399440,2621.076543
110,2767.399440,2639.374911
111,2767.399440,2641.277480
112,2767.399440,2656.373203
113,2767.399440,2656.541612
114,2767.399440,2643.717713
115,2767.399440,2646.635593
116,2767.399440,2648.207523
117,2767.399440,2648.347672
118,2767.399440,2622.205301
119,2767.399440,2625.216105
120,2767.399440,2603.994649
121,2767.399440,2601.385902
122,2767.399440,2606.102823
123,2767.399440,2614.320317
124,2767.399440,2615.193907
125,2767.399440,2633.205964
126,2767.399440,2620.646154
127,2767.399440,2640.211373
128,2767.399440,2638.412867
129,2767.399440,2636.258966
130,2767.399440,2601.590604
131,2767.399440,2600.612446
132,2767.399440,2616.417876
133,2767.399440,2611.915659
134,2767.399440,2627.184923
135,2767.399440,2623.607406
136,2767.399440,2630.212554
137,2767.399440,2614.801812
138,2767.399440,2622.035372
139,2767.399440,2615.431799
140,2767.399440,2613.470497
141,2767.399440,2612.275958
142,2767.399440,2635.715612
143,2767.399440,2625.632083
144,2767.399440,2626.377897
145,2767.399440,2638.259924
146,2767.399440,2642.972095
147,2767.399440,2629.703296
148,2767.399440,2629.933260
149,2767.399440,2622.507076
150,2767.399440,2619.952053
151,2767.399440,2650.055885
152,2767.399440,2630.782759
153,2767.399440,2603.476826
154,2767.399440,2621.491003
155,2767.399440,2605.214369
156,2767.399440,2612.263678
157,2767.399440,2619.262484
158,2767.399440,2626.230645
159,2767.399440,2616.428834
160,2767.399440,2626.530157
161,2767.399440,2648.945016
162,2767.399440,2621.682802
163,2767.399440,2634.649261
164,2767.399440,2630.258109
165,2767.399440,2623.864125
166,2767.399440,2640.088018
167,2767.399440,2623.692331
168,2767.399440,2630.443403
169,2767.399440,2622.455270
170,2767.399440,2609.362988
171,2767.399440,2648.829443
172,2767.399440,2643.691209
173,2767.399440,2641.347749
174,2767.399440,2646.960921
175,2767.399440,2644.190141
176,2767.399440,2628.017518
177,2767.399440,2618.637000
178,2767.399440,2617.612748
179,2767.399440,2621.129656
180,2767.399440,2623.263250
181,2767.399440,2617.609213
182,2767.399440,2619.190381
183,2767.399440,2624.054306
184,2767.399440,2624.131564
185,2767.399440,2629.254511
186,2767.399440,2624.896081
187,2767.399440,2623.603259
188,2767.399440,2627.446986
189,2767.399440,2626.370826
190,2767.399440,2640.518094
191,2767.399440,2638.081243
192,2767.399440,2651.606230
193,2767.399440,2658.070831
194,2767.399440,2655.121935
195,2767.399440,2654.038210
196,2767.399440,2639.279659
197,2767.399440,2645.894375
198,2767.399440,2639.652973
199,2767.399440,2619.323972
200,2767.399440,2631.092387
201,2767.399440,2617.305717
202,2767.399440,2619.265779
203,2767.399440,2589.338402
204,2767.399440,2603.305208
205,2767.399440,2622.976664
206,2767.399440,2626.034497
207,2767.399440,2629.277987
208,2767.399440,2639.802659
209,2767.399440,2629.384143
210,2767.399440,2623.063579
211,2767.399440,2632.201438
212,2767.399440,2641.576977
213,2767.399440,2645.370621
214,2767.399440,2649.668959
215,2767.399440,2647.039366
216,2767.399440,2651.507817
217,2767.399440,2637.600278
218,2767.399440,2641.570133
219,2767.399440,2637.796831
220,2767.399440,2633.341056
221,2767.399440,2622.773301
222,2767.399440,2637.493958
223,2767.399440,2650.342136
224,2767.399440,2637.393467
225,2767.399440,2645.013234
226,2767.399440,2637.380335
227,2767.399440,2613.839535
228,2767.399440,2627.988657
229,2767.399440,2628.602934
230,2767.399440,2641.268536
231,2767.399440,2636.367123
232,2767.399440,2611.552129
233,2767.399440,2612.369297
234,2767.399440,2615.263880
235,2767.399440,2610.756590
236,2767.399440,2609.990770
237,2767.399440,2608.221295
238,2767.399440,2622.229550
239,2767.399440,2626.215261
240,2767.399440,2623.081004
241,2767.399440,2609.369979
242,2767.399440,2609.347935
243,2767.399440,2603.121981
244,2767.399440,2590.635079
245,2767.399440,2581.499243
246,2767.399440,2582.466852
247,2767.399440,2614.342267
248,2767.399440,2634.561431
249,2767.399440,2608.841384
250,2767.399440,2618.330478
251,2767.399440,2622.623757
252,2767.399440,2636.579260
253,2767.399440,2616.792167
254,2767.399440,2616.975653
255,2767.399440,2606.275967
256,2767.399440,2602.005713
257,2767.399440,2611.892356
258,2767.399440,2608.145049
259,2767.399440,2615.853785
260,2767.399440,2622.746134
261,2767.399440,2613.386679
262,2767.399440,2631.541872
263,2767.399440,2647.195483
264,2767.399440,2659.160655
265,2767.399440,2645.444229
266,2767.399440,2613.141128
267,2767.399440,2625.431748
268,2767.399440,2620.738097
269,2767.399440,2601.614044
270,2767.399440,2641.157946
271,2767.399440,2638.852635
272,2767.399440,2633.758866
273,2767.399440,2651.185984
274,2767.399440,2642.321324
275,2767.399440,2649.671509
276,2767.399440,2650.860105
277,2767.399440,2667.382304
278,2767.399440,2666.686423
279,2767.399440,2669.074527
280,2767.399440,2647.572366
281,2767.399440,2625.798214
282,2767.399440,2643.206399
283,2767.399440,2637.838791
284,2767.399440,2641.103999
285,2767.399440,2640.316498
286,2767.399440,2619.239501
287,2767.399440,2584.821897
288,2767.399440,2586.150462
289,2767.399440,2583.340114
290,2767.399440,2595.174800
291,2767.399440,2601.825393
292,2767.399440,2618.813513
293,2767.399440,2638.154717
294,2767.399440,2645.091239
295,2767.399440,2640.766349
296,2767.399440,2647.346108
297,2767.399440,2627.214378
298,2767.399440,2608.595622
299,2767.399440,2609.388193
